,recipe_shrt_name,recipe_id,preparation_time,preparation_time_unit,cook_time,cook_time_unit,total_time,total_time_unit,cuisine,course,diet,difficulty_level,rating,nutrition,URL
57,Phirni,recid_phirni,5,min,25,min,30,min,"North Indian, Punjabi","Desserts, Sweets","Gluten Free, Vegetarian",Easy,4.96,Calories 172,https://www.vegrecipesofindia.com/phirni-recipe-punjabi-phirni-recipe/
58,Pita Bread,recid_pita_bread,30,min,30,min,60,min,"Lebanese, World","Breakfast, Brunch",Vegan,Moderate,5.0,Calories 107,https://www.vegrecipesofindia.com/whole-wheat-pita-bread-best-pita-bread-recipe/
59,Poori,recid_poori,10,min,30,min,40,min,Indian,Breakfast,"Vegan, Vegetarian",Moderate,4.8,Calories 90,https://www.vegrecipesofindia.com/poori-a-kind-of-fried-indian-bread/
60,Potato Rice,recid_potato_rice,30,min,12,min,42,min,South Indian,Main Course,"Gluten Free, Vegan, Vegetarian",Moderate,4.75,Calories 564,https://www.vegrecipesofindia.com/potato-pulao-recipe-aloo-pulao-recipe/
61,Punjabi Kala Chana Curry,recid_punjabi_kala_chana_curry,10,min,30,min,40,min,"North Indian, Punjabi",Main Course,"Vegan, Vegetarian",Moderate,4.96,Calories 245,https://www.vegrecipesofindia.com/kala-chana-curry-recipe/
62,Punjabi Lobia Masala,recid_punjabi_lobia_masala,10,min,20,min,30,min,"North Indian, Punjabi",Main Course,Vegan,Moderate,4.88,Calories 125,https://www.vegrecipesofindia.com/lobia-recipe-punjabi-lobia/
63,Ragi Dosa,recid_ragi_dosa,15,min,25,min,40,min,South Indian,Breakfast,"Gluten Free, Vegetarian",Easy,4.88,Calories 345,https://www.vegrecipesofindia.com/ragi-dosa-recipe/
64,Ragi Dosa,recid_ragi_dosa,10,min,30,min,40,min,South Indian,Breakfast,Vegan,Moderate,4.88,Calories 345,https://www.vegrecipesofindia.com/ragi-dosa-recipe/
65,Ragi Halwa,recid_ragi_halwa,5,min,15,min,20,min,Indian,Desserts,Vegetarian,Moderate,4.91,Calories 568,https://www.vegrecipesofindia.com/ragi-halwa-recipe/
66,Ragi Idli,recid_ragi_idli,10,min,30,min,40,min,South Indian,Breakfast,,,4.88,Calories 469,https://www.vegrecipesofindia.com/ragi-idli-recipe/
67,Ragi Kheer,recid_ragi_kheer,10,min,10,min,20,min,Indian,"Desserts, Sweets","Gluten Free, Vegetarian",Moderate,4.78,Calories 224,https://www.vegrecipesofindia.com/ragi-kheer-recipe-nachni-kheer/
68,Ragi Ladoo,recid_ragi_ladoo,1,min,14,min,15,min,Indian,Sweets,,,4.89,Calories 171,https://www.vegrecipesofindia.com/ragi-ladoo-recipe/
69,Ragi Malt,recid_ragi_malt,2,min,13,min,15,min,"Karnataka, South Indian",Breakfast,,,5.0,Calories 256,https://www.vegrecipesofindia.com/ragi-malt/
70,Rajma Madra - Himachali Cuisine,recid_rajma_madra__himachali_cuisine,20,min,20,min,40,min,"Himachali, North Indian",Main Course,,,5.0,Calories 259,https://www.vegrecipesofindia.com/rajma-madra-recipe/
71,Rajma Masala Restaurant Style,recid_rajma_masala_restaurant_style,10,min,45,min,55,min,Punjabi,Main Course,Vegetarian,Easy,4.89,Calories 210,https://www.vegrecipesofindia.com/rajma-masala-recipe-restaurant-style/
72,Rajma Pulao,recid_rajma_pulao,10,min,35,min,45,min,North Indian,Main Course,"Vegan, Vegetarian",Moderate,4.78,Calories 742,https://www.vegrecipesofindia.com/rajma-pulao-recipe/
73,Rajma Sundal,recid_rajma_sundal,5,min,30,min,35,min,South Indian,Snacks,Vegan,Moderate,5.0,Calories 214,https://www.vegrecipesofindia.com/rajma-sundal/
74,Rava Chilla,recid_rava_chilla,30,min,20,min,50,min,North Indian,"Breakfast, Snacks",,,5.0,Calories 907,https://www.vegrecipesofindia.com/rava-chilla-recipe-sooji-chilla/
75,Rava Dhokla,recid_rava_dhokla,15,min,20,min,35,min,Gujarati,Snacks,"Vegan, Vegetarian",Moderate,4.97,Calories 196,https://www.vegrecipesofindia.com/rava-dhokla-instant-rava-dhokla/
76,Rava Dosa,recid_rava_dosa,5,min,25,min,30,min,South Indian,Breakfast,Vegan,Easy,4.94,Calories 102,https://www.vegrecipesofindia.com/rava-dosa-crisp-rava-dosa/
77,Rava Idli,recid_rava_idli,35,min,12,min,47,min,South Indian,"Breakfast, Brunch",Vegetarian,Easy,4.86,Calories 104,https://www.vegrecipesofindia.com/rava-idli-recipe-quick-rava-idli/
78,Rava Kesari,recid_rava_kesari,10,min,15,min,25,min,"South Indian, Tamil Nadu","Desserts, Sweets",Vegetarian,Moderate,4.87,Calories 349,https://www.vegrecipesofindia.com/rava-kesari-recipe/
79,Rava Kichadi,recid_rava_kichadi,5,min,15,min,20,min,South Indian,Breakfast,Vegetarian,Easy,4.9,Calories 260,https://www.vegrecipesofindia.com/rava-kichadi-recipe/
80,Rava Ladoo,recid_rava_ladoo,5,min,25,min,30,min,"Indian, Maharashtrian","Desserts, Sweets",Vegetarian,Moderate,4.92,Calories 154,https://www.vegrecipesofindia.com/rava-ladoo-recipe-ladoo-recipes/
81,Rava Pongal,recid_rava_pongal,15,min,15,min,30,min,South Indian,Breakfast,,,5.0,Calories 456,https://www.vegrecipesofindia.com/rava-pongal-recipe/
82,Rava Upma,recid_rava_upma,15,min,15,min,30,min,"Indian, South Indian","Breakfast, Brunch",Vegetarian,Easy,4.88,Calories 360,https://www.vegrecipesofindia.com/upma-savoury-south-indian-breakfast-recipe-made-with-semolina/
83,Rava Uttapam,recid_rava_uttapam,30,min,15,min,45,min,Indian,Snacks,Vegan,Easy,,,https://www.vegrecipesofindia.com/rava-uttapam-recipe-sooji-uttapam/
84,Rice Kheer,recid_rice_kheer,20,min,30,min,50,min,North Indian,"Desserts, Sweets","Gluten Free, Vegetarian",Easy,4.85,Calories 140,https://www.vegrecipesofindia.com/rice-kheer-recipe-chawal-ki-kheer/
85,Rice Pudding,recid_rice_pudding,20,min,30,min,50,min,North Indian,"Desserts, Sweets","Gluten Free, Vegetarian",Easy,4.85,Calories 140,https://www.vegrecipesofindia.com/leftover-rice-pudding-kheer/
86,Roti (Phulka),recid_roti_phulka,10,min,30,min,40,min,Indian,Main Course,"Vegan, Vegetarian",Moderate,4.94,Calories 90,https://www.vegrecipesofindia.com/rotis-made-from-whole-wheat-flour/
87,Saffron Rice,recid_saffron_rice,30,min,10,min,40,min,Indian,Main Course,"Gluten Free, Vegetarian",Easy,5.0,Calories 481,https://www.vegrecipesofindia.com/saffron-rice-or-kesar-rice/
88,Sooji Halwa,recid_sooji_halwa,1,min,14,min,15,min,"Maharashtrian, North Indian",Sweets,Vegetarian,Easy,4.91,Calories 344,https://www.vegrecipesofindia.com/sooji-halwa-recipe-rava-sheera/
89,Sooji Kheer,recid_sooji_kheer,2,min,18,min,20,min,North Indian,"Desserts, Sweets",Vegetarian,Easy,4.72,Calories 282,https://www.vegrecipesofindia.com/sooji-kheer-recipe-rava-kheer-recipe/
90,Sugar Paratha,recid_sugar_paratha,30,min,30,min,60,min,North Indian,Breakfast,Vegetarian,Moderate,4.8,Calories 217,https://www.vegrecipesofindia.com/sugar-paratha-sweet-paratha/
91,Sweet Pongal,recid_sweet_pongal,5,min,15,min,20,min,"South Indian, Tamil Nadu",Sweets,"Gluten Free, Vegetarian",Easy,4.84,Calories 412,https://www.vegrecipesofindia.com/sweet-pongal-recipe-sakkarai-pongal-recipe/
92,Tamarind Rice,recid_tamarind_rice,30,min,30,min,60,min,"South Indian, Tamil Nadu",Main Course,,,4.9,Calories 555,https://www.vegrecipesofindia.com/tamarind-rice-recipe/
93,Tandoori Roti,recid_tandoori_roti,10,min,30,min,40,min,"North Indian, Punjabi",Main Course,Vegetarian,Moderate,,,https://www.vegrecipesofindia.com/tandoori-roti-recipe/
94,Ven Pongal,recid_ven_pongal,5,min,20,min,25,min,"South Indian, Tamil Nadu",Breakfast,Vegetarian,Easy,4.95,Calories 285,https://www.vegrecipesofindia.com/ven-pongal-recipe-khara-pongal-recipe/
95,Wheat Halwa,recid_wheat_halwa,5,min,10,min,15,min,North Indian,"Desserts, Sweets",,,4.91,Calories 495,https://www.vegrecipesofindia.com/atte-ka-halwa-recipe/
96,Wheat Ladoo,recid_wheat_ladoo,5,min,10,min,15,min,"North Indian, Punjabi",Sweets,Vegetarian,Moderate,4.88,Calories 474,https://www.vegrecipesofindia.com/atta-ladoo-recipe/
97,Wheat Nankhatai,recid_wheat_nankhatai,15,min,25,min,40,min,North Indian,"Desserts, Snacks",,,4.82,Calories 198,https://www.vegrecipesofindia.com/whole-wheat-nankhatai-recipe-atta-nankhatai/
98,Wheat Nankhatai,recid_wheat_nankhatai,5,min,25,min,30,min,North Indian,Snacks,,,,,https://www.vegrecipesofindia.com/whole-wheat-nankhatai-recipe-atta-nankhatai/
99,White Chickpeas Chaat,recid_white_chickpeas_chaat,5,min,20,min,25,min,Indian,Snacks,"Vegan, Vegetarian",Moderate,,,https://www.vegrecipesofindia.com/chana-chaat-recipe-chana-chaat/
