recipe_shrt_name,recipe_id,recipe_name,preparation_time,preparation_time_unit,cook_time,cook_time_unit,total_time,total_time_unit,cuisine,course,diet,difficulty_level,rating,nutrition
Onion Uttapam,,Uttapam Recipe,,,30,mins,30,mins,South Indian,Breakfast,"Gluten Free, Vegan, Vegetarian",Moderate,4.75,Calories 262
Onion Tomato Uttapam,,Uttapam Recipe,,,30,mins,30,mins,South Indian,Breakfast,"Gluten Free, Vegan, Vegetarian",Moderate,4.75,Calories 262
Churumuri - Karnataka,,Churumuri Recipe,5,mins,5,mins,10,mins,Karnataka,"Brunch, Snacks",Vegan,Easy,5,Calories 285
Easy Puffed Rice Recipe,,Puffed Rice Recipe | Murmura Recipe,1,min,4,mins,5,mins,"Gujarati, Indian",Snacks,Vegan,Easy,5,Calories 127
Jhal Muri - Kolkata,,Jhal Muri,10,mins,5,mins,15,mins,"Bengali, Indian Street Food",Snacks,,,5,Calories 172
Bhel Puri - Mumbai,bhel-puri-bhel-recipe,Bhel Puri (Bhel Recipe),15,mins,15,mins,30,mins,Indian Street Food,Snacks,"Vegan, Vegetarian",Easy,4.96,Calories 251
Akki Roti - Karnataka Cuisine,akki-roti-rice-roti,Akki Roti (Rice Roti),15,mins,30,mins,45,mins,Karnataka,Breakfast,"Vegan, Vegetarian",Moderate,4.91,Calories 335
Wheat Paniyaram,,Wheat Appam,15,mins,20,mins,35,mins,South Indian,Sweets,,,4.82,Calories 56
No Grind Easy Dosa,,No Grind Easy Dosa,,,30,mins,30,mins,South Indian,Breakfast,,,4.85,Calories 456
Besan Chilla,besan-chilla-chilla-recipe-gram-flour-pancakes,Besan Chilla | Chilla Recipe (Gram Flour Pancakes),10,mins,20,mins,30,mins,"North Indian, Punjabi",Breakfast,"Gluten Free, Vegan, Vegetarian",Easy,4.81,Calories 108
Missi Roti,missi-roti,Missi Roti,15,mins,15,mins,30,mins,"North Indian, Punjabi",Breakfast,Vegetarian,Easy,5,Calories 622
Besan Halwa,besan-ka-halwa,Besan Ka Halwa,5,mins,25,mins,30,mins,Indian,Desserts,Vegetarian,Moderate,4.84,Calories 666
Gatte ki Sabji,,Gatte Ki Sabji,25,mins,20,mins,45,mins,Rajasthani,Main Course,,,5,Calories 325
Besan Ladoo,besan-ladoo-besan-ke-laddu,Besan Ladoo (Besan Ke Laddu),5,mins,25,mins,30,mins,North Indian,Sweets,"Gluten Free, Vegetarian",Moderate,4.92,Calories 155
Moong Dal Dosa,,Pesarattu | Moong Dal Dosa,,,30,mins,30,mins,"Andhra, South Indian",Breakfast,"Vegan, Vegetarian",Easy,4.94,Calories 80
Moong Dal Khichdi,khichdi-recipe-moong-dal-khichdi,Khichdi Recipe | Moong Dal Khichdi,30,mins,10,mins,40,mins,Indian,Main Course,"Vegan, Vegetarian",Moderate,4.75,Calories 482
Moong Dal Fry,moong-dal-recipe-moong-dal-fry-and-tadka,Moong Dal Recipe | Moong Dal Fry And Tadka,5,mins,30,mins,35,mins,"Indian, North Indian",Main Course,Vegetarian,Moderate,4.91,Calories 185
Moong Dal Tadka,moong-dal-recipe-moong-dal-fry-and-tadka,Moong Dal Recipe | Moong Dal Fry And Tadka,5,mins,30,mins,35,mins,"Indian, North Indian",Main Course,Vegetarian,Moderate,4.91,Calories 185
Moong Dal Chilla,moong-dal-chilla-indian-mung-bean-pancake,Moong Dal Chilla (Indian Mung Bean Pancake),,,30,mins,30,mins,"Indian, North Indian","Side Dish, Snacks",Vegan,Moderate,4.95,Calories 84
Moong Dal Halwa,,Moong Dal Halwa,,,,,,,North Indian,Desserts,,,4.89,Calories 555
Mixed Sprouts Curry,,Sprouts Curry,15,mins,20,mins,35,mins,North Indian,"Main Course, Side Dish",,,4.8,Calories 124
Parippu Curry,,Parippu Curry,5,mins,20,mins,25,mins,"Kerala, South Indian",Main Course,,,5,Calories 174
Pasi paruppu payasam,,Pasi Paruppu Payasam,15,mins,5,mins,20,mins,South Indian,Sweets,,,4.73,Calories 646
Dhokla,,Chana Dal Dhokla (Vati Dal Dhokla),5,mins,15,mins,20,mins,Gujarati,"Side Dish, Snacks, Starters",,Moderate,4.93,Calories 276
Cholar Dal - Bengali Cuisine,cholar-dal-recipe,Cholar Dal Recipe,30,mins,30,mins,,,Bengali,Main Course,Vegetarian,Moderate,4.5,Calories 266
Chana Dal Khichdi - Punjabi,,Chana Dal Khichdi,30,mins,20,mins,50,mins,"North Indian, Punjabi",Main Course,Vegan,Moderate,5,Calories 381
Chana Dal Fry,chana-dal-authentic-north-indian-recipe,Chana Dal (Authentic North Indian Recipe),10,mins,20,mins,30,mins,North Indian,Main Course,"Vegan, Vegetarian",Moderate,4.92,Calories 272
Chana Dal Sundal,,Chana Dal Sundal,,,35,mins,35,mins,"South Indian, Tamil Nadu","Side Dish, Snacks",,,5,Calories 120
Langarwali Dal - Amritsari Dal,,Amritsari Dal | Langarwali Dal,10,mins,45,mins,55,mins,"Indian, Punjabi",Main Course,"Gluten Free, Vegetarian",Moderate,5,Calories 285
Maah Chole di Dal,maa-chole-di-dal,Maa Chole Di Dal,30,mins,20,mins,50,mins,"North Indian, Punjabi",Main Course,"Vegan, Vegetarian",Moderate,4.89,Calories 235
Chana Dal Payasam,,Chana Dal Payasam,30,mins,25,mins,,,"Kerala, South Indian",Desserts,,,5,Calories 463
Dal Bukhara,dal-bukhara-recipe,Dal Bukhara Recipe,,,,,,,"North Indian, Punjabi",Main Course,"Gluten Free, Vegetarian",Moderate,4.85,Calories 339
Dal Makhani,dal-makhani,Dal Makhani,,,,,,,"North Indian, Punjabi",Main Course,"Gluten Free, Vegetarian",Easy,4.91,Calories 308
Urad Dal Dosa,,Urad Dal Dosa,20,mins,20,mins,40,mins,South Indian,Breakfast,"Gluten Free, Vegan",Moderate,5,Calories 247
Urad Dal Ladoo,sunnundalu-recipe-urad-dal-laddu,Sunnundalu Recipe | Urad Dal Laddu,5,mins,12,mins,17,mins,"Andhra, South Indian",Sweets,"Gluten Free, Vegetarian",Moderate,5,Calories 154
Kali Dal,,Maa Ki Dal | Kali Dal | Black Gram Dal | Sabut Urad Dal,35,mins,25,mins,,,"Indian, Punjabi",Main Course,Vegetarian,Moderate,4.91,Calories 211
Sukhi Urad Dal (Dry Version),,Dry Urad Dal Recipe,,,10,mins,10,mins,"North Indian, Punjabi",Side Dish,,,5,Calories 301
Dal Fry Restaurant Style,dal-fry-recipe-dal-recipe-restaurant-style,Dal Fry Recipe | Dal Recipe (Restaurant Style),15,mins,10,mins,25,mins,Indian,Main Course,"Vegan, Vegetarian",Moderate,4.89,Calories 120
Dal Tadka Restaurant Style,instant-pot-dal-tadka,Instant Pot Dal Tadka,15,mins,15,mins,30,mins,North Indian,Main Course,,Easy,4.93,Calories 213
Dal Tadka Restaurant Style,instant-pot-dal-tadka,Instant Pot Dal Tadka,15,mins,15,mins,30,mins,North Indian,Main Course,,Easy,4.93,Calories 193
Gujarati Dal,gujarati-dal-recipe,Gujarati Dal Recipe,20,mins,20,mins,40,mins,Gujarati,Main Course,Vegan,Moderate,4.91,Calories 191
Gujarati Surati Dal,,Surati Dal,15,mins,15,mins,30,mins,"Gujarati, Indian",Main Course,Vegetarian,Moderate,5,Calories 535
Punjabi Arhar Dal fry,,Arhar Dal,20,mins,15,mins,35,mins,"North Indian, Punjabi",Main Course,Vegetarian,Moderate,4.86,Calories 158
Maharashtrian Varan Bhaat,,Goan Varan Bhaat With Coconut,10,mins,15,mins,25,mins,Goan,Main Course,"Vegan, Vegetarian",Easy,4.67,Calories 339
Maharashtrian Varan Bhaat,,Goan Varan Bhaat With Coconut,10,mins,15,mins,25,mins,Goan,Main Course,"Vegan, Vegetarian",Easy,4.67,Calories 0
Goan Varan Bhaat,,Goan Varan Bhaat With Coconut,10,mins,15,mins,25,mins,Goan,Main Course,"Vegan, Vegetarian",Easy,4.67,Calories 339
Goan Varan Bhaat,,Goan Varan Bhaat With Coconut,10,mins,15,mins,25,mins,Goan,Main Course,"Vegan, Vegetarian",Easy,4.67,Calories 0
Konkani Dali Toye,,Dali Toye,5,mins,25,mins,30,mins,"Goan, Karnataka, Konkani & Malvani",Main Course,,,4.72,Calories 155
Adai,,Adai Recipe | Adai Dosa,10,mins,30,mins,40,mins,"South Indian, Tamil Nadu","Breakfast, Main Course, Snacks",,,5,Calories 355
Gujarati Trevti Dal,gujarati-dal-recipe,Gujarati Dal Recipe,20,mins,20,mins,40,mins,Gujarati,Main Course,Vegan,Moderate,4.91,Calories 191
Mixed Dal Dosa,,Mixed Dal Dosa,,,30,mins,30,mins,South Indian,Breakfast,Vegan,Moderate,4.91,Calories 349
Dhaba Style Dal Fry,,Dhaba Dal (Made With 5 Lentils),25,mins,20,mins,45,mins,"North Indian, Punjabi",Main Course,"Vegan, Vegetarian",Moderate,4.75,Calories 240
Rajasthani Panchmel Dal,,Panchmel Dal,45,mins,20,mins,5,mins,"Indian, Rajasthani",Main Course,Vegetarian,Moderate,4.82,Calories 233
Punjabi Chana Masala,chana-masala-chole-recipe-punjabi-chole-masala,Chana Masala | Chole Recipe | Punjabi Chole Masala,,,45,mins,45,mins,North Indian,Main Course,"Gluten Free, Vegan",Moderate,4.92,Calories 239
Vegan Chickpea Curry (Easy),chana-masala-chole-recipe-punjabi-chole-masala,Chana Masala | Chole Recipe | Punjabi Chole Masala,,,45,mins,45,mins,North Indian,Main Course,"Gluten Free, Vegan",Moderate,4.92,Calories 239
South Indian Chana Masala,,Chickpea Curry Recipe (Indian),,,30,mins,30,mins,South Indian,Main Course,,,4.77,Calories 351
Homestyle Easy Chana Masala,instant-pot-chana-masala,Instant Pot Chana Masala,,,45,mins,45,mins,"North Indian, Punjabi",Main Course,"Gluten Free, Vegan",Easy,5,Calories 320
Pindi Chole,pindi-chole-pindi-chana,Pindi Chole | Pindi Chana,20,mins,10,mins,30,mins,"North Indian, Punjabi",Main Course,"Vegan, Vegetarian",Moderate,5,Calories 420
